version,release_date,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
4.4,20120313,2.5,0.99,0.42,0.7,0.1,0.04,0.15,6.96,2.39,0.0,0.0,2.13,76247674120,304871888311,3.999,728041382609,2.39,76235.4,1.0,304923561469,4.0,18,143271493888,1813745340,76235.52,1.0,2,85065856706,254385671,0.3,0,174560002651,140,140,0,7126442,761076,10.68,264529925549,3844391,0.0,556718,48077,8.64,11468852,264429157639,24486,0.0,720720,131873,18.3,0,0
4.6,20130412,2.5,1.0,0.42,0.66,0.09,0.05,0.2,6.74,2.4,0.0,0.0,2.15,74618921996,302866899884,4.059,725503592530,2.39,74613.76,1.0,302942889642,4.06,9,140749306916,1781773938,74613.8,1.0,2,84447104100,250488119,0.3,0,173993423191,135,135,0,4247866,587811,13.838,264124647180,3453559,0.0,302870,34289,11.32,8702782,264019991368,1515152,0.0,3448163,2130099,61.77,0,0
4.7,20140612,2.5,1.0,0.43,0.65,0.11,0.05,0.2,6.65,2.34,0.0,0.0,2.15,76804062937,312011112260,4.063,728688987630,2.34,76796.53,1.0,312124360520,4.064,14,144944788168,1834891646,76796.58,1.0,2,86080980327,250702459,0.29,0,175897739108,138,138,0,6912963,1191644,17.238,265414472853,3696119,0.0,570175,75353,13.22,11459647,265569475331,861722,0.0,474423,137640,29.01,0,0
4.8,20150623,2.5,0.99,0.44,0.63,0.11,0.05,0.21,6.57,2.26,0.0,0.0,2.13,75891317944,304480431098,4.013,687555657525,2.26,75881.96,1.0,304505228964,4.013,13,142656258754,1806013967,75882.03,1.0,2,86051018902,255180515,0.3,0,167368312846,136,136,0,7117805,590731,8.299,257289467348,3553531,0.0,622430,40663,6.53,11060220,257125989170,26414334,0.01,17262270,125605,0.73,0,0
4.9,20150626,2.5,0.99,0.45,0.63,0.13,0.04,0.21,6.44,2.23,0.0,0.0,2.15,78196296370,317086651584,4.055,707692835122,2.23,78191.04,1.0,317183713805,4.057,5,147344637855,1865302160,78191.16,1.0,2,87230070572,250467835,0.29,0,169875300009,137,137,0,5704026,762550,13.369,259695498113,3615828,0.0,406984,25024,6.15,9896880,259763065861,42704,0.0,3664638,128463,3.51,0,0
5.0,20171010,2.5,0.99,0.43,0.65,0.1,0.04,0.2,6.6,2.32,0.0,0.0,2.13,76048827232,304120445597,3.999,704920888972,2.32,76040.03,1.0,304126092243,4.0,25,143061747597,1810863319,76040.06,1.0,2,91260203370,253309399,0.28,0,169779926065,136,136,0,7132279,698591,9.795,258942489933,3656055,0.0,578150,45295,7.83,11238958,259051483715,546198,0.0,3557618,139324,3.92,0,0
6.0,20181026,2.5,0.99,0.43,0.65,0.11,0.04,0.2,6.62,2.33,0.0,0.0,2.15,74313635815,300183693662,4.04,699926259985,2.33,74308.16,1.0,300203238322,4.04,15,139898479918,1770980155,74308.22,1.0,2,90367126712,253514802,0.28,0,167201963889,136,136,0,4501002,668390,14.85,256824001105,3249258,0.0,364147,39806,10.93,9578988,256927188231,5354351,0.0,7937116,127693,1.61,0,0
7.0,20191114,2.5,0.99,0.43,0.65,0.1,0.05,0.2,6.64,2.3,0.0,0.0,2.14,75144138473,303448246577,4.039,699399845228,2.31,75138.35,1.0,303448024700,4.039,10,141427724247,1790313217,75138.42,1.0,3,90376043632,254046469,0.28,0,169711256159,140,140,0,4776470,492668,10.314,259566602003,3152099,0.0,306961,27735,9.04,8782489,259509016802,40848,0.0,794717,165558,20.83,0,0
8.0,20210514,2.5,1.0,0.44,0.64,0.11,0.04,0.21,6.6,2.28,0.0,0.0,2.15,75034636636,305419871821,4.071,694787072012,2.27,75028.5,1.0,305475367775,4.071,14,141761777918,1794480376,75028.58,1.0,2,90097214904,252575177,0.28,0,169188577070,137,137,0,5411289,712799,13.172,258113420874,3309031,0.0,376656,34468,9.15,8078849,258266524044,138257,0.0,9259519,146440,1.58,0,0
9.0,20220527,2.5,1.0,0.43,0.65,0.1,0.04,0.21,6.45,2.32,0.0,0.0,2.15,82354928210,334505198011,4.062,776208925972,2.32,82348.06,1.0,334522027777,4.062,19,155497110752,1968428356,82348.2,1.0,2,98207550273,252560013,0.26,0,182679910303,136,136,0,7707143,721840,9.366,273192118914,3723937,0.0,581769,36788,6.32,12398989,273116163202,1045729,0.0,4987968,142168,2.85,0,0
