version,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,
g++-7 7.5.0,nbody_2.c 50000000,10,1690228253,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,315,2,308,5,0,12.5,1.6,0.0,85.2,0.8,0.0,0.0,0.0,15795.0 MiB,5426.9 MiB,2138.0 MiB,8230.1 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12637.1 MiB
g++-7 7.5.0,nbody_2.c 50000000,11,1690228254,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,315,2,308,5,0,12.8,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15795.0 MiB,5426.9 MiB,2138.0 MiB,8230.1 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12637.1 MiB
g++-7 7.5.0,nbody_2.c 50000000,12,1690228255,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,315,2,308,5,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5427.4 MiB,2137.5 MiB,8230.1 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12637.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,13,1690228256,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,315,2,308,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5426.9 MiB,2138.0 MiB,8230.1 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12637.1 MiB
g++-7 7.5.0,nbody_2.c 50000000,14,1690228258,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,315,2,308,5,0,13.1,0.8,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,5426.9 MiB,2138.0 MiB,8230.1 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12637.1 MiB
g++-7 7.5.0,nbody_2.c 50000000,15,1690228259,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,315,2,308,5,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5426.7 MiB,2138.2 MiB,8230.1 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12636.8 MiB
g++-7 7.5.0,nbody_2.c 50000000,16,1690228260,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,315,2,308,5,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5426.9 MiB,2138.0 MiB,8230.1 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12637.1 MiB
g++-7 7.5.0,nbody_2.c 50000000,17,1690228261,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,315,2,308,5,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,5426.7 MiB,2138.2 MiB,8230.1 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12636.8 MiB
g++-7 7.5.0,nbody_2.c 50000000,18,1690228262,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,1.6,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,5442.0 MiB,2125.0 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.1 MiB
g++-7 7.5.0,nbody_2.c 50000000,19,1690228263,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,14.0,0.8,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,5441.3 MiB,2126.0 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.5 MiB
g++-7 7.5.0,nbody_2.c 50000000,20,1690228265,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.2,1.6,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,5441.8 MiB,2125.5 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.0 MiB
g++-7 7.5.0,nbody_2.c 50000000,21,1690228266,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5441.6 MiB,2125.7 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.7 MiB
g++-7 7.5.0,nbody_2.c 50000000,22,1690228267,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,3,306,5,0,14.1,0.8,0.0,85.2,0.0,0.0,0.0,0.0,15795.0 MiB,5441.6 MiB,2125.7 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.7 MiB
g++-7 7.5.0,nbody_2.c 50000000,23,1690228268,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5441.1 MiB,2126.2 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.2 MiB
g++-7 7.5.0,nbody_2.c 50000000,24,1690228269,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,13.4,0.8,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,5441.1 MiB,2126.2 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.3 MiB
g++-7 7.5.0,nbody_2.c 50000000,25,1690228270,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.3 MiB,2126.0 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.5 MiB
g++-7 7.5.0,nbody_2.c 50000000,26,1690228272,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5441.6 MiB,2125.7 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.8 MiB
g++-7 7.5.0,nbody_2.c 50000000,27,1690228273,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,5441.6 MiB,2125.7 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.8 MiB
g++-7 7.5.0,nbody_2.c 50000000,28,1690228274,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.4,0.8,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,5441.6 MiB,2125.7 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.8 MiB
g++-7 7.5.0,nbody_2.c 50000000,29,1690228275,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.4,0.0,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.6 MiB,2125.7 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.8 MiB
g++-7 7.5.0,nbody_2.c 50000000,30,1690228276,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.3 MiB,2125.9 MiB,8227.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.5 MiB
g++-7 7.5.0,nbody_2.c 50000000,31,1690228277,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,5441.3 MiB,2125.9 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.5 MiB
g++-7 7.5.0,nbody_2.c 50000000,32,1690228279,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5441.3 MiB,2125.9 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.5 MiB
g++-7 7.5.0,nbody_2.c 50000000,33,1690228280,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.9 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,34,1690228281,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5441.1 MiB,2126.1 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,35,1690228282,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.1 MiB,2126.1 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,36,1690228283,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.9 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,37,1690228284,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.8 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,38,1690228286,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.4,0.0,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.8 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,39,1690228287,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.8 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,40,1690228288,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.8 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,41,1690228289,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.8 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,42,1690228290,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5441.6 MiB,2125.6 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.9 MiB
g++-7 7.5.0,nbody_2.c 50000000,43,1690228291,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.8 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,44,1690228293,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.4,0.8,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,5441.4 MiB,2125.8 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.6 MiB
g++-7 7.5.0,nbody_2.c 50000000,45,1690228294,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.4,0.0,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5441.9 MiB,2125.3 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.1 MiB
g++-7 7.5.0,nbody_2.c 50000000,46,1690228295,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.8,0.0,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,5442.1 MiB,2125.1 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,47,1690228296,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.4,0.8,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,5441.6 MiB,2125.6 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12651.9 MiB
g++-7 7.5.0,nbody_2.c 50000000,48,1690228297,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5442.1 MiB,2125.1 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,49,1690228298,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5442.6 MiB,2124.6 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.9 MiB
g++-7 7.5.0,nbody_2.c 50000000,50,1690228300,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5443.1 MiB,2124.1 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12653.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,51,1690228301,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,315,2,308,5,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5442.1 MiB,2125.0 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,52,1690228302,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,315,2,308,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5442.1 MiB,2125.0 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,53,1690228303,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5442.1 MiB,2125.0 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,54,1690228304,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5442.6 MiB,2124.5 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12652.9 MiB
g++-7 7.5.0,nbody_2.c 50000000,55,1690228305,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5443.4 MiB,2123.8 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12653.7 MiB
g++-7 7.5.0,nbody_2.c 50000000,56,1690228307,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,24.4,2.3,0.0,73.3,0.0,0.0,0.0,0.0,15795.0 MiB,5447.1 MiB,2116.5 MiB,8231.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12657.4 MiB
g++-7 7.5.0,nbody_2.c 50000000,57,1690228308,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.2,0.8,0.0,85.3,0.0,0.0,0.8,0.0,15795.0 MiB,5445.8 MiB,2121.3 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12656.1 MiB
g++-7 7.5.0,nbody_2.c 50000000,58,1690228309,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,13.4,0.8,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,5444.8 MiB,2122.3 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12655.2 MiB
g++-7 7.5.0,nbody_2.c 50000000,59,1690228310,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5444.8 MiB,2122.3 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12655.2 MiB
g++-7 7.5.0,nbody_2.c 50000000,60,1690228311,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5444.6 MiB,2122.5 MiB,8227.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12654.9 MiB
g++-7 7.5.0,nbody_2.c 50000000,61,1690228312,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,13.8,0.8,0.0,84.6,0.8,0.0,0.0,0.0,15795.0 MiB,5444.4 MiB,2122.6 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12654.8 MiB
g++-7 7.5.0,nbody_2.c 50000000,62,1690228314,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,12.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,15795.0 MiB,5445.2 MiB,2121.8 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12655.7 MiB
g++-7 7.5.0,nbody_2.c 50000000,63,1690228315,333395,nbody_2_g++-7,6496,1944,1772,100.0,0.0,314,2,307,5,0,13.4,0.0,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5445.4 MiB,2121.6 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12655.9 MiB
g++-7 7.5.0,nbody_2.c 50000000,64,1690228316,333395,nbody_2_g++-7,6496,1944,1772,93.8,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5445.7 MiB,2121.3 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12656.1 MiB
