path,version,release_date,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J,Avg_MHz,Busy%,IPC,IRQ,POLL,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,Totl%C0,Any%C0,GFX%C0,CPUGFX%,time_elapsed_sec,CPU_Utilization,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend,CPI,ILP,IPC_perf,cycles,freq_cycles_GHz,instructions,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,cycles,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,SWAP,CODE,DATA,nMaj,nDRT,USED
binaryTrees_21_v4_modified_without_Multithreading,1.8.0_382,2023-07-18,4.8186655,107.825,93.59,7.029999999999999,0.07,1274.0,33.42,1.245,35532.5,6.5,0.10500000000000001,0.135,0.055,0.78,0.0,8.88,4.635,51.765,11.329999999999998,0.055,1.0,54.235,85.5,88.0,98.39500000000001,173.165,98.91499999999999,1.4249999999999998,1.395,4.793073626,0.99,0.35,0.1,0.01,0.57,185551124036.0,18555112403.6,64129100119.24,1855511240.3600001,105629988467.44,0.75,4.795,1.2,46387781009.0,3.621,56013532223.5,0.035,6.085,2.0149999999999997,46387781009.0,56013532223.5,1.205,12734.7,2.6535,46305527834.0,3.634,257.5,22795832636.5,288279530.0,12735.465,2.6535,434.0,9165969204.5,28234392.0,0.0,11757562809.0,190400.0,190387.5,8.0,834216724.5,513605865.5,61.8155,13766007868.5,423450952.5,19471318.0,11182528.0,9558048.5,14321018317.5,5908338.5,35254.0,164692.0,10.015,6996668416.0,629553152.0,18921472.0,134.4,3.8000000000000003,20.0,4.0,0.0,4096.0,1096800256.0,8192.0,0.0,629553152.0
binaryTrees_21_v4_modified_without_Multithreading,9.0.4,2018-01-16,4.46546,92.16,79.595,6.635,0.07,668.5,17.38,2.37,8026.5,20.5,0.21,0.185,0.14,1.28,0.0,9.26,6.26,64.63,14.09,0.405,1.355,66.62,85.5,86.0,98.25,119.2,98.86,1.54,1.5,4.398687186,0.99,0.66,0.11,0.02,0.25,83281364968.0,9160950146.48,54701308766.68001,1665627299.3600001,20742968620.5,0.39,6.385,2.34,20820341242.0,3.3985000000000003,48393969734.5,0.08,5.58,2.04,20820341242.0,48393969734.5,2.3600000000000003,6043.35,1.37,21092504066.5,3.437,189.0,10229702732.0,129537073.0,6044.0599999999995,1.37,834.5,8052764496.5,16952548.5,0.0,11245768855.5,432738.5,432727.0,8.0,802515488.0,497868606.5,61.8625,13818855692.5,436073658.0,18844556.5,7143842.5,14123927.0,13926957341.0,10167832.0,96399.5,157666.5,3.415,8153378816.0,1717986918.0,17965056.0,100.0,10.6,34.0,3.5,0.0,4096.0,2325762048.0,8192.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,10.0.2,2018-07-17,4.519874,92.66499999999999,79.28,6.68,0.07,658.5,17.134999999999998,2.4050000000000002,9287.0,14.0,0.195,0.155,0.125,1.11,0.0,9.535,6.86,64.44999999999999,14.135,0.325,1.2650000000000001,67.155,87.0,87.0,98.2,118.39,98.87,1.57,1.53,4.5478461625,0.99,0.66,0.11,0.02,0.24,84946020662.0,9450630541.880001,56064724724.04,1698920413.24,20522461299.36,0.385,6.33,2.295,21236505165.5,3.4610000000000003,50018395665.0,0.08,5.66,2.04,21236505165.5,50018395665.0,2.42,6099.885,1.342,21607659476.5,3.5215,190.0,10682721809.5,133440776.5,6100.615,1.3425,813.0,8072798309.0,15927958.0,0.0,11573166594.0,433015.5,433006.5,8.0,832223545.0,508044014.5,61.45,15189967497.5,428960998.0,17864743.5,6998487.5,15511251.5,14749631979.5,9166920.5,98440.0,245658.5,3.4,8145063936.0,1717986918.0,18579456.0,106.7,10.6,34.0,4.0,0.0,0.0,2325291008.0,0.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,11.0.20.1,2023-08-22,3.590087,75.515,64.56,5.995,0.06,657.0,16.78,2.3,6391.5,3.0,0.225,0.225,0.11,0.975,0.0,10.17,5.415,65.235,14.15,0.17,1.165,67.505,83.5,85.0,97.9,118.065,98.94,1.75,1.71,3.669791434,0.99,0.62,0.09,0.03,0.3,67292153130.0,6056293781.7,42184677668.380005,2018764593.9,20238752890.68,0.41,6.635,2.2350000000000003,16823038282.5,3.5285,39074579361.0,0.1,6.43,2.09,16823038282.5,39074579361.0,2.29,4796.725,1.3105,16807147539.5,3.5300000000000002,177.0,8225151566.0,99617248.0,4797.235,1.311,646.5,5780730833.5,12007916.0,0.0,8985177987.0,416954.0,416945.0,8.0,764206488.5,469027752.5,61.2375,10687128870.5,408861191.5,20394642.5,7190957.0,27045704.0,10807974272.0,9213191.5,220227.5,258364.0,2.27,7447773184.0,1717986918.0,27746304.0,106.2,10.2,24.0,3.0,0.0,4096.0,2317570048.0,8192.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,12.0.2,2019-07-16,3.603657,75.69,64.85499999999999,5.995,0.065,661.5,16.545,2.3,6747.5,27.0,0.25,0.28,0.10500000000000001,0.965,0.0,10.065000000000001,5.24,66.42,14.145,0.16999999999999998,1.21,67.66499999999999,84.5,85.0,98.0,116.705,98.83,1.755,1.7,3.577189485,0.99,0.65,0.09,0.03,0.28,66683957010.0,6195403024.379999,42965778655.8,2000518710.3,18812310961.920002,0.395,6.375,2.225,16670989252.5,3.612,37920521474.5,0.10500000000000001,6.5,2.09,16670989252.5,37920521474.5,2.33,4631.23,1.289,16982597258.0,3.6745,156.5,8131269544.5,102605639.0,4631.79,1.289,570.0,5784787539.5,9873482.5,0.0,9059807965.0,432884.5,432875.5,8.0,757770993.0,469777655.5,63.263000000000005,10471790702.0,408616709.5,19887606.5,7663097.5,18004035.5,10854716083.0,8692985.5,235827.0,608169.5,2.29,7465439232.0,1717986918.0,26451968.0,103.35,10.6,24.0,4.5,0.0,4096.0,2317463552.0,8192.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,13.0.2,2020-01-14,3.6362815,75.445,64.5,6.01,0.06,629.0,16.13,2.3449999999999998,7416.0,32.5,0.25,0.24,0.095,1.045,0.0,9.875,6.46,65.705,14.465,0.14,1.275,68.02000000000001,84.5,85.5,97.99000000000001,115.62,98.805,1.77,1.72,3.6106144430000002,0.99,0.66,0.12,0.03,0.27,65676712924.0,7793541370.32,43246490224.08,1926883721.1,17560180351.08,0.39,6.44,2.2350000000000003,16419178231.0,3.5549999999999997,38256921142.0,0.10500000000000001,6.425,2.09,16419178231.0,38256921142.0,2.35,4563.02,1.2675,16483565332.0,3.5645,179.5,7834942148.0,95313036.0,4563.705,1.2675,602.0,5571373707.0,6893243.5,0.0,8753225424.5,433441.5,433432.5,8.0,733338141.5,459233484.5,63.183499999999995,10415227030.0,406822033.5,20107486.5,7866224.5,18570121.0,10930859053.5,8519752.0,97377.0,656299.0,2.16,7442350080.0,1717986918.0,26177536.0,103.35,10.6,24.0,3.0,0.0,4096.0,2317307904.0,8192.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,14.0.2,2020-07-14,3.5994275,75.095,64.41,5.955,0.04,644.0,16.285,2.37,7085.5,58.5,0.7,0.8300000000000001,0.10500000000000001,1.0350000000000001,0.0,9.89,5.705,65.155,15.535,0.14,1.155,66.78,84.5,86.5,98.475,115.535,98.67500000000001,1.2650000000000001,1.22,3.633341214,0.99,0.65,0.1,0.03,0.275,66669049770.0,6825936044.200001,43329494363.44,1980721625.28,18189228746.5,0.39,6.37,2.255,16667262442.5,3.627,39076191827.5,0.11,6.475,2.09,16667262442.5,39076191827.5,2.4000000000000004,4624.62,1.273,16769526379.5,3.6414999999999997,234.5,7956771486.5,95708939.0,4625.37,1.274,609.5,5639884188.5,6815941.5,0.0,8732515636.0,434165.5,434156.5,8.0,747398131.5,457663884.0,61.4415,10409900962.5,406146520.0,19737428.0,7210407.5,14683976.5,10945666465.0,8737460.5,70302.5,971019.5,2.2,7513489408.0,1717986918.0,25853952.0,100.0,10.6,25.0,4.0,0.0,4096.0,2318364672.0,8192.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,15.0.2,2021-01-19,3.489951,72.705,62.15,5.85,0.04,645.5,16.235,2.325,6953.5,9.0,0.9,0.72,0.1,1.02,0.0,11.765,5.25,63.709999999999994,15.594999999999999,0.155,1.1549999999999998,66.775,86.0,86.5,98.5,115.525,98.185,1.275,1.2,3.4786855205,0.99,0.64,0.08,0.03,0.29,62519686804.0,5161240444.0,40465612074.5,1851255175.74,17930278400.199997,0.4,6.324999999999999,2.24,15629921701.0,3.497,36898887108.5,0.095,6.615,2.1,15629921701.0,36898887108.5,2.365,4454.445,1.2734999999999999,15634767784.5,3.5155,240.5,7417585750.0,90434245.0,4455.16,1.2734999999999999,649.5,5536573225.0,7474296.0,0.0,8227719909.5,431761.5,431749.5,8.0,746286041.0,459285183.5,61.555499999999995,9312867167.0,405490248.0,17351637.5,6854375.5,10736892.0,9544283620.0,8628970.5,56863.5,1087922.5,2.16,7506747392.0,1717986918.0,25309184.0,106.7,10.6,25.0,4.5,0.0,4096.0,2319405056.0,8192.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,16.0.2,2021-07-20,3.5107395,73.925,63.629999999999995,5.865,0.04,641.5,16.165,2.275,5158.0,11.0,0.96,0.7050000000000001,0.095,0.845,0.0,10.0,2.96,67.8,15.405000000000001,0.11499999999999999,1.035,67.11,82.5,84.5,98.43,114.785,98.70500000000001,1.245,1.15,3.5938427605000003,0.99,0.62,0.14,0.03,0.275,63197745790.0,8618695061.76,39168157923.86,1846863227.52,17079330776.48,0.41,6.04,2.205,15799436447.5,3.4345,35603204302.0,0.11,6.405,2.085,15799436447.5,35603204302.0,2.26,4548.68,1.2654999999999998,15602022402.0,3.449,212.5,7466344751.5,94818499.5,4549.424999999999,1.266,643.5,6272924974.0,7469023.5,0.0,8091642242.0,435746.0,435737.0,8.0,758356893.5,452549322.5,59.924,8583565677.0,408924346.0,15003287.0,5856038.5,8896827.5,8878769429.5,8867083.0,56621.5,1028536.0,2.14,7564861440.0,1717986918.0,26435584.0,100.0,10.5,26.0,5.0,0.0,4096.0,2316238848.0,8192.0,0.0,1717986918.0
binaryTrees_21_v4_modified_without_Multithreading,17.0.8.1,2023-08-22,3.6324699999999996,76.53999999999999,65.83000000000001,6.005,0.04,680.5,17.0,2.205,5437.5,13.5,0.785,1.045,0.125,0.995,0.0,11.225,2.71,65.52,15.895,0.13,1.15,66.22999999999999,86.0,87.0,98.485,118.82,99.07499999999999,1.22,1.205,3.5624500145,0.99,0.62,0.13,0.03,0.265,65875320218.0,8409561330.820001,41056855965.36,1976259606.54,17126247521.18,0.41,6.055,2.19,16468830054.5,3.5315000000000003,36332052205.5,0.10500000000000001,6.43,2.085,16468830054.5,36332052205.5,2.285,4562.695,1.281,16271101946.0,3.5300000000000002,215.5,7813450085.5,93532563.0,4563.455,1.281,654.0,6265911379.0,8020031.0,0.0,8239007743.5,433193.0,433182.0,8.0,757212559.0,451285915.0,59.6465,8593593941.5,401449925.0,15632235.0,5717436.0,7792758.0,8935722001.0,8621302.0,64136.0,1056315.5,2.15,7635066880.0,1717986918.0,21868544.0,106.7,10.5,26.0,3.0,0.0,4096.0,2324443136.0,8192.0,0.0,1717986918.0
